POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Server Metrics,ಸರ್ವರ್ ಮೆಟ್ರಿಕ್ಸ್
Server Uptime:,ಸರ್ವರ್ ಅಪ್ಟೈಮ್:
Service Charges,ಸೇವಾ ಶುಲ್ಕಗಳು
Session,ಅಧಿವೇಶನ
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ಪ್ರತಿ ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಅನ್ನು ಬಳಕೆದಾರರ ಫಾರ್ಮ್‌ನಲ್ಲಿ ಹೊಂದಿಸಿ ಮತ್ತು ಪಿಒಎಸ್ ಪ್ರೊಫೈಲ್ ಬಳಕೆದಾರರಲ್ಲಿ ನಿಯೋಜಿಸಲಾದ ಟರ್ಮಿನಲ್ ಸದಸ್ಯರನ್ನು ಇರಿಸಿಕೊಳ್ಳಿ.
Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳು
Settings in this section update the POS workspace without changing the current route.,ಈ ವಿಭಾಗದಲ್ಲಿನ ಸೆಟ್ಟಿಂಗ್‌ಗಳು ಪ್ರಸ್ತುತ ಮಾರ್ಗವನ್ನು ಬದಲಾಯಿಸದೆಯೇ POS ಕಾರ್ಯಸ್ಥಳವನ್ನು ನವೀಕರಿಸಿ.
Setup complete!,ಸೆಟಪ್ ಪೂರ್ಣಗೊಂಡಿದೆ!
Share,ಹಂಚಿಕೊಳ್ಳಿ
Shared terminal,ಹಂಚಿದ ಟರ್ಮಿನಲ್
Shift Closed Snapshot,Shift ಮುಚ್ಚಿದ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್
Shift Overview,ಶಿಫ್ಟ್ ಅವಲೋಕನ
Show,ತೋರಿಸು
Show cart on customer-facing screen,ಗ್ರಾಹಕರು ಎದುರಿಸುತ್ತಿರುವ ಪರದೆಯ ಮೇಲೆ ಕಾರ್ಟ್ ತೋರಿಸಿ
Show last invoice rate,ಕೊನೆಯ ಸರಕುಪಟ್ಟಿ ದರವನ್ನು ತೋರಿಸಿ
Show rate info,ದರ ಮಾಹಿತಿಯನ್ನು ತೋರಿಸಿ
Show Repair Candidates,ದುರಸ್ತಿ ಅಭ್ಯರ್ಥಿಗಳನ್ನು ತೋರಿಸಿ
Show search tools,ಹುಡುಕಾಟ ಪರಿಕರಗಳನ್ನು ತೋರಿಸಿ
Show the active cart on a customer-facing screen,ಗ್ರಾಹಕರು ಎದುರಿಸುತ್ತಿರುವ ಪರದೆಯ ಮೇಲೆ ಸಕ್ರಿಯ ಕಾರ್ಟ್ ಅನ್ನು ತೋರಿಸಿ
Showing {0}-{1} of {2},{2} ರಲ್ಲಿ {0}-{1} ತೋರಿಸಲಾಗುತ್ತಿದೆ
Showing 0 of 0,0 ರಲ್ಲಿ 0 ತೋರಿಸಲಾಗುತ್ತಿದೆ
Shows the distribution of invoices per currency,ಪ್ರತಿ ಕರೆನ್ಸಿಗೆ ಇನ್‌ವಾಯ್ಸ್‌ಗಳ ವಿತರಣೆಯನ್ನು ತೋರಿಸುತ್ತದೆ
Sign out of the current POS session,ಪ್ರಸ್ತುತ POS ಸೆಶನ್‌ನಿಂದ ಸೈನ್ ಔಟ್ ಮಾಡಿ
Size:,ಗಾತ್ರ:
Skipped Payments,ಪಾವತಿಗಳನ್ನು ಸ್ಕಿಪ್ ಮಾಡಲಾಗಿದೆ
Skipping items without barcodes,ಬಾರ್‌ಕೋಡ್‌ಗಳಿಲ್ಲದೆ ಐಟಂಗಳನ್ನು ಬಿಟ್ಟುಬಿಡುವುದು
Slow Moving,ಸ್ಲೋ ಮೂವಿಂಗ್
Slow Moving Items,ನಿಧಾನವಾಗಿ ಚಲಿಸುವ ವಸ್ತುಗಳು
Slow Queries:,ನಿಧಾನ ಪ್ರಶ್ನೆಗಳು:
Sold,ಮಾರಾಟ ಮಾಡಲಾಗಿದೆ
Source,ಮೂಲ
Source Cash Account (Optional Override),ಮೂಲ ನಗದು ಖಾತೆ (ಐಚ್ಛಿಕ ಅತಿಕ್ರಮಣ)
Source Ex. Rate:,ಮೂಲ Ex. ದರ:
Source Rate:,ಮೂಲ ದರ:
Specific Profile,ನಿರ್ದಿಷ್ಟ ಪ್ರೊಫೈಲ್
Split Invoices,ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ವಿಭಜಿಸಿ
Staff / Cashier Performance Report,ಸಿಬ್ಬಂದಿ / ಕ್ಯಾಷಿಯರ್ ಕಾರ್ಯಕ್ಷಮತೆ ವರದಿ
Status,ಸ್ಥಿತಿ
Stock,ಸ್ಟಾಕ್
Stock Information,ಸ್ಟಾಕ್ ಮಾಹಿತಿ
Stock is lower than requested,ಸ್ಟಾಕ್ ವಿನಂತಿಸಿದಕ್ಕಿಂತ ಕಡಿಮೆಯಾಗಿದೆ
Stock is lower than requested:\n{0},ಸ್ಟಾಕ್ ವಿನಂತಿಸಿದಕ್ಕಿಂತ ಕಡಿಮೆಯಾಗಿದೆ:\n{0}
Stock Movement Report,ಸ್ಟಾಕ್ ಮೂವ್ಮೆಂಟ್ ವರದಿ
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,ಸ್ಟಾಕ್ ನವೀಕರಣ: {0} ನಲ್ಲಿ {1} ಲಭ್ಯವಿದೆ. {2} ಅನ್ನು ಸೇರಿಸುವುದರಿಂದ ಸ್ಟಾಕ್ ಅನ್ನು ಶೂನ್ಯಕ್ಕಿಂತ ಕೆಳಗೆ ತರುತ್ತದೆ.
Submit,ಸಲ್ಲಿಸಿ
Submit & Print,ಸಲ್ಲಿಸಿ ಮತ್ತು ಮುದ್ರಿಸು
Submit Deposit,ಠೇವಣಿ ಸಲ್ಲಿಸಿ
Submit Expense,ವೆಚ್ಚವನ್ನು ಸಲ್ಲಿಸಿ
Submitted,ಸಲ್ಲಿಸಲಾಗಿದೆ
Submitted Cash Movements,ಸಲ್ಲಿಸಿದ ನಗದು ಚಲನೆಗಳು
Submitted entries,ನಮೂದುಗಳನ್ನು ಸಲ್ಲಿಸಲಾಗಿದೆ
Successfully scanned:,ಯಶಸ್ವಿಯಾಗಿ ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗಿದೆ:
Suggested,ಸೂಚಿಸಲಾಗಿದೆ
Suggested Qty,ಸೂಚಿಸಿದ ಪ್ರಮಾಣ
Supervisor Access,ಮೇಲ್ವಿಚಾರಕ ಪ್ರವೇಶ
Supervisor permissions unlock issuance and reloads,ಮೇಲ್ವಿಚಾರಕರ ಅನುಮತಿಗಳು ವಿತರಣೆ ಮತ್ತು ಮರುಲೋಡ್‌ಗಳನ್ನು ಅನ್‌ಲಾಕ್ ಮಾಡುತ್ತವೆ
Supervisor Tools,ಮೇಲ್ವಿಚಾರಕ ಪರಿಕರಗಳು
Supplier,ಪೂರೈಕೆದಾರ
Supplier and dates are required.,ಪೂರೈಕೆದಾರ ಮತ್ತು ದಿನಾಂಕಗಳು ಅಗತ್ಯವಿದೆ.
Supplier Invoices,ಪೂರೈಕೆದಾರರ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು
Supplier is required.,ಪೂರೈಕೆದಾರರ ಅಗತ್ಯವಿದೆ.
Supplier name is required,ಪೂರೈಕೆದಾರರ ಹೆಸರು ಅಗತ್ಯವಿದೆ
Supplier Payments,ಪೂರೈಕೆದಾರ ಪಾವತಿಗಳು
Supplier Purchase Summary,ಪೂರೈಕೆದಾರರ ಖರೀದಿಯ ಸಾರಾಂಶ
Suppliers,ಪೂರೈಕೆದಾರರು
Suppliers not found,ಪೂರೈಕೆದಾರರು ಕಂಡುಬಂದಿಲ್ಲ
Switch Camera,ಕ್ಯಾಮರಾ ಬದಲಿಸಿ
Switch Cashier,ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಬದಲಿಸಿ
Switch the POS appearance theme,POS ಕಾಣಿಸಿಕೊಂಡ ಥೀಮ್ ಅನ್ನು ಬದಲಿಸಿ
Switched to:,ಇದಕ್ಕೆ ಬದಲಾಯಿಸಲಾಗಿದೆ:
Sync All Invoices,ಎಲ್ಲಾ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಿ
Sync Offline Cash Movements ({0}),ಆಫ್‌ಲೈನ್ ನಗದು ಚಲನೆಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಿ ({0})
Sync Offline Sales,ಆಫ್‌ಲೈನ್ ಮಾರಾಟವನ್ನು ಸಿಂಕ್ ಮಾಡಿ
Synced {0} offline cash movement(s).,{0} ಆಫ್‌ಲೈನ್ ನಗದು ಚಲನೆ(ಗಳು) ಸಿಂಕ್ ಮಾಡಲಾಗಿದೆ.
Syncing items in background,ಹಿನ್ನೆಲೆಯಲ್ಲಿ ಐಟಂಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಲಾಗುತ್ತಿದೆ
System / Diagnostics,ಸಿಸ್ಟಮ್ / ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","ಸಿಸ್ಟಂ ಕ್ರಿಯೆಗಳು ಅಪ್ಲಿಕೇಶನ್ ಮಾಹಿತಿ, ಬೆಂಬಲ ಡಯಾಗ್ನೋಸ್ಟಿಕ್ಸ್ ಮತ್ತು ಸೆಶನ್ ನಿಯಂತ್ರಣಗಳಂತಹ ಕಡಿಮೆ-ಆವರ್ತನ ನಿರ್ವಹಣೆ ನಿಯಂತ್ರಣಗಳಾಗಿವೆ."
System Information,ಸಿಸ್ಟಮ್ ಮಾಹಿತಿ
System Status,ಸಿಸ್ಟಮ್ ಸ್ಥಿತಿ
Tables:,ಕೋಷ್ಟಕಗಳು:
Tap the button below to redeem a gift card during checkout.,ಚೆಕ್ಔಟ್ ಸಮಯದಲ್ಲಿ ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ರಿಡೀಮ್ ಮಾಡಲು ಕೆಳಗಿನ ಬಟನ್ ಅನ್ನು ಟ್ಯಾಪ್ ಮಾಡಿ.
Target,ಗುರಿ
Target Ex. Rate:,ಟಾರ್ಗೆಟ್ ಎಕ್ಸ್. ದರ:
Target Rate:,ಗುರಿ ದರ:
Tax,ತೆರಿಗೆ
Tax / Charges Report,ತೆರಿಗೆ / ಶುಲ್ಕಗಳ ವರದಿ
Tax Heads,ತೆರಿಗೆ ಮುಖ್ಯಸ್ಥರು
Taxable Amount,ತೆರಿಗೆಯ ಮೊತ್ತ
Tendered,ಟೆಂಡರ್ ಮಾಡಲಾಗಿದೆ
Terminal,ಟರ್ಮಿನಲ್
Terminal & Devices,ಟರ್ಮಿನಲ್ ಮತ್ತು ಸಾಧನಗಳು
Terminal locked,ಟರ್ಮಿನಲ್ ಲಾಕ್ ಮಾಡಲಾಗಿದೆ
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","ಟರ್ಮಿನಲ್ ಪರಿಕರಗಳು ಈ ಚೆಕ್‌ಔಟ್ ಸ್ಟೇಷನ್, ಗ್ರಾಹಕ-ಮುಖಿ ಪ್ರದರ್ಶನಗಳು ಮತ್ತು ಭವಿಷ್ಯದ ಪ್ರಿಂಟರ್/ಸಾಧನ ನಿಯಂತ್ರಣಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತವೆ."
Territory not found,ಪ್ರದೇಶ ಕಂಡುಬಂದಿಲ್ಲ
The amount paid is not complete,ಪಾವತಿಸಿದ ಮೊತ್ತವು ಪೂರ್ಣವಾಗಿಲ್ಲ
The app stores data locally for offline use. This is called cache.,ಅಪ್ಲಿಕೇಶನ್ ಆಫ್‌ಲೈನ್ ಬಳಕೆಗಾಗಿ ಸ್ಥಳೀಯವಾಗಿ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ. ಇದನ್ನು ಕ್ಯಾಶ್ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.
The invoice stayed in draft. Please review and submit it manually.,ಸರಕುಪಟ್ಟಿ ಡ್ರಾಫ್ಟ್‌ನಲ್ಲಿ ಉಳಿಯಿತು. ದಯವಿಟ್ಟು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಅದನ್ನು ಹಸ್ತಚಾಲಿತವಾಗಿ ಸಲ್ಲಿಸಿ.
The maximum discount allowed is,ಅನುಮತಿಸಲಾದ ಗರಿಷ್ಠ ರಿಯಾಯಿತಿ
The quantity for {0} has been adjusted to the maximum available stock.,{0} ಗಾಗಿ ಪ್ರಮಾಣವನ್ನು ಗರಿಷ್ಠ ಲಭ್ಯವಿರುವ ಸ್ಟಾಕ್‌ಗೆ ಹೊಂದಿಸಲಾಗಿದೆ.
The system could not retrieve the item details. Please try again.,ಐಟಂ ವಿವರಗಳನ್ನು ಹಿಂಪಡೆಯಲು ಸಿಸ್ಟಮ್‌ಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
These invoices will be synced when connection is restored,ಸಂಪರ್ಕವನ್ನು ಮರುಸ್ಥಾಪಿಸಿದಾಗ ಈ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಸಿಂಕ್ ಮಾಡಲಾಗುತ್ತದೆ
This action now opens inside the settings workspace.,ಈ ಕ್ರಿಯೆಯು ಈಗ ಸೆಟ್ಟಿಂಗ್‌ಗಳ ಕಾರ್ಯಸ್ಥಳದಲ್ಲಿ ತೆರೆಯುತ್ತದೆ.
This coupon already used !,ಈ ಕೂಪನ್ ಅನ್ನು ಈಗಾಗಲೇ ಬಳಸಲಾಗಿದೆ!
This invoice does not need change-allocation repair,ಈ ಇನ್‌ವಾಯ್ಸ್‌ಗೆ ಬದಲಾವಣೆ-ಹಂಚಿಕೆ ದುರಸ್ತಿ ಅಗತ್ಯವಿಲ್ಲ
This invoice is already repaired,ಈ ಸರಕುಪಟ್ಟಿ ಈಗಾಗಲೇ ದುರಸ್ತಿಯಾಗಿದೆ
This is an item template. Please choose a variant.,ಇದು ಐಟಂ ಟೆಂಪ್ಲೇಟ್ ಆಗಿದೆ. ದಯವಿಟ್ಟು ರೂಪಾಂತರವನ್ನು ಆಯ್ಕೆಮಾಡಿ.
this item,ಈ ಐಟಂ
This POS page could not be opened offline because its code was not cached on this terminal yet.,ಈ POS ಪುಟವನ್ನು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ತೆರೆಯಲಾಗಲಿಲ್ಲ ಏಕೆಂದರೆ ಅದರ ಕೋಡ್ ಅನ್ನು ಈ ಟರ್ಮಿನಲ್‌ನಲ್ಲಿ ಇನ್ನೂ ಸಂಗ್ರಹಿಸಲಾಗಿಲ್ಲ.
This Serial Number {0} has already been added!,ಈ ಸರಣಿ ಸಂಖ್ಯೆ {0} ಅನ್ನು ಈಗಾಗಲೇ ಸೇರಿಸಲಾಗಿದೆ!
Threshold,ಮಿತಿ
Time,ಸಮಯ
Tip: Clear cache regularly to free up space and keep the app fast.,ಸಲಹೆ: ಜಾಗವನ್ನು ಮುಕ್ತಗೊಳಿಸಲು ಮತ್ತು ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ವೇಗವಾಗಿ ಇರಿಸಿಕೊಳ್ಳಲು ನಿಯಮಿತವಾಗಿ ಸಂಗ್ರಹವನ್ನು ತೆರವುಗೊಳಿಸಿ.
Tip: Close unused tabs or apps to reduce lag.,ಸಲಹೆ: ವಿಳಂಬವನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಬಳಕೆಯಾಗದ ಟ್ಯಾಬ್‌ಗಳು ಅಥವಾ ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಮುಚ್ಚಿ.
Tip: Monitor slow queries and table size for optimal performance.,ಸಲಹೆ: ಅತ್ಯುತ್ತಮ ಕಾರ್ಯಕ್ಷಮತೆಗಾಗಿ ನಿಧಾನ ಪ್ರಶ್ನೆಗಳು ಮತ್ತು ಟೇಬಲ್ ಗಾತ್ರವನ್ನು ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಿ.
To Be Paid,ಪಾವತಿಸಲು
To Date,ಇಲ್ಲಿಯವರೆಗೆ
Today,ಇಂದು
Today Profit,ಇಂದು ಲಾಭ
Today Sales,ಇಂದು ಮಾರಾಟ
Toggle navigation drawer,ನ್ಯಾವಿಗೇಷನ್ ಡ್ರಾಯರ್ ಅನ್ನು ಟಾಗಲ್ ಮಾಡಿ
Toggle Theme,ಥೀಮ್ ಟಾಗಲ್ ಮಾಡಿ
Tools,ಪರಿಕರಗಳು
Tools for customer-facing screens and terminal-specific actions.,ಗ್ರಾಹಕರು ಎದುರಿಸುತ್ತಿರುವ ಪರದೆಗಳು ಮತ್ತು ಟರ್ಮಿನಲ್-ನಿರ್ದಿಷ್ಟ ಕ್ರಿಯೆಗಳಿಗಾಗಿ ಪರಿಕರಗಳು.
Top Brand,ಟಾಪ್ ಬ್ರ್ಯಾಂಡ್
Top Category,ಉನ್ನತ ವರ್ಗ
Top Charge Head,ಟಾಪ್ ಚಾರ್ಜ್ ಹೆಡ್
Top Customers,ಟಾಪ್ ಗ್ರಾಹಕರು
Top Discount,ಉನ್ನತ ರಿಯಾಯಿತಿ
Top Items by Location,ಸ್ಥಳದ ಪ್ರಕಾರ ಟಾಪ್ ಐಟಂಗಳು
Top Margin,ಟಾಪ್ ಮಾರ್ಜಿನ್
Top Pending,ಟಾಪ್ ಬಾಕಿಯಿದೆ
Top Profit Item,ಉನ್ನತ ಲಾಭದ ಐಟಂ
Top Return Items,ಟಾಪ್ ರಿಟರ್ನ್ ಐಟಂಗಳು
Top Sales by Cashier,ಕ್ಯಾಷಿಯರ್‌ನಿಂದ ಉನ್ನತ ಮಾರಾಟ
Top Supplier,ಉನ್ನತ ಪೂರೈಕೆದಾರ
Top Suppliers by Spend,ಖರ್ಚು ಮಾಡುವ ಮೂಲಕ ಉನ್ನತ ಪೂರೈಕೆದಾರರು
Top Tables,ಉನ್ನತ ಕೋಷ್ಟಕಗಳು
Top Tax Head,ಉನ್ನತ ತೆರಿಗೆ ಮುಖ್ಯಸ್ಥ
Top Up Amount,ಟಾಪ್ ಅಪ್ ಮೊತ್ತ
Top Up Card,ಟಾಪ್ ಅಪ್ ಕಾರ್ಡ್
Top Up Mode,ಟಾಪ್ ಅಪ್ ಮೋಡ್
Top Variant,ಉನ್ನತ ರೂಪಾಂತರ
Total,ಒಟ್ಟು
Total Amount,ಒಟ್ಟು ಮೊತ್ತ
Total Change,ಒಟ್ಟು ಬದಲಾವಣೆ
Total Charges,ಒಟ್ಟು ಶುಲ್ಕಗಳು
Total In,ಒಟ್ಟು ಇನ್
Total Invoices,ಒಟ್ಟು ಇನ್‌ವಾಯ್ಸ್‌ಗಳು
Total Items,ಒಟ್ಟು ವಸ್ತುಗಳು
Total Mpesa,ಒಟ್ಟು ಎಂಪೆಸಾ
Total Out,ಒಟ್ಟು ಔಟ್
Total Payments,ಒಟ್ಟು ಪಾವತಿಗಳು
Total Purchase,ಒಟ್ಟು ಖರೀದಿ
Total Selected :,ಒಟ್ಟು ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ:
Total Size,ಒಟ್ಟು ಗಾತ್ರ
Total Stock Qty,ಒಟ್ಟು ಸ್ಟಾಕ್ Qty
Total:,ಒಟ್ಟು:
Totals by Invoice Currency,ಸರಕುಪಟ್ಟಿ ಕರೆನ್ಸಿ ಮೂಲಕ ಮೊತ್ತಗಳು
Track how much cash was handed back to customers,ಗ್ರಾಹಕರಿಗೆ ಎಷ್ಟು ಹಣವನ್ನು ಹಿಂತಿರುಗಿಸಲಾಗಿದೆ ಎಂಬುದನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ
"Track recent sales, collect unpaid balances, and reopen saved work","ಇತ್ತೀಚಿನ ಮಾರಾಟಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ, ಪಾವತಿಸದ ಬಾಕಿಗಳನ್ನು ಸಂಗ್ರಹಿಸಿ ಮತ್ತು ಉಳಿಸಿದ ಕೆಲಸವನ್ನು ಪುನಃ ತೆರೆಯಿರಿ"
Transaction ID,ವಹಿವಾಟು ID
Transfer,ವರ್ಗಾವಣೆ
Try a different search term or clear the cart search.,ಬೇರೆ ಹುಡುಕಾಟ ಪದವನ್ನು ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಕಾರ್ಟ್ ಹುಡುಕಾಟವನ್ನು ತೆರವುಗೊಳಿಸಿ.
Try adjusting your search or filters,ನಿಮ್ಮ ಹುಡುಕಾಟ ಅಥವಾ ಫಿಲ್ಟರ್‌ಗಳನ್ನು ಸರಿಹೊಂದಿಸಲು ಪ್ರಯತ್ನಿಸಿ
Try another source or refresh the list.,ಬೇರೊಂದು ಮೂಲವನ್ನು ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಪಟ್ಟಿಯನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ.
Try changing the date range or status filter.,ದಿನಾಂಕ ಶ್ರೇಣಿ ಅಥವಾ ಸ್ಥಿತಿ ಫಿಲ್ಟರ್ ಅನ್ನು ಬದಲಾಯಿಸಲು ಪ್ರಯತ್ನಿಸಿ.
Type,ಟೈಪ್ ಮಾಡಿ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,ಮೂಲಭೂತ ಸೆಟ್ಟಿಂಗ್‌ಗಳೊಂದಿಗೆ ಕ್ಯಾಮರಾವನ್ನು ಪ್ರವೇಶಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ಕ್ಯಾಮರಾ ಅನುಮತಿಗಳು ಮತ್ತು ಸಾಧನದ ಹೊಂದಾಣಿಕೆಯನ್ನು ಪರಿಶೀಲಿಸಿ.
Unable to add offer item {0}. Please refresh and try again.,ಆಫರ್ ಐಟಂ {0} ಅನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ. ದಯವಿಟ್ಟು ರಿಫ್ರೆಶ್ ಮಾಡಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Unable to add offer item. Please refresh and try again.,ಆಫರ್ ಐಟಂ ಅನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ. ದಯವಿಟ್ಟು ರಿಫ್ರೆಶ್ ಮಾಡಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Unable to add scanned item.,ಸ್ಕ್ಯಾನ್ ಮಾಡಿದ ಐಟಂ ಅನ್ನು ಸೇರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
Unable to create purchase order,ಖರೀದಿ ಆದೇಶವನ್ನು ರಚಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to delete draft invoice,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ ಅಳಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch documents,ದಾಖಲೆಗಳನ್ನು ತರಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch draft orders,ಡ್ರಾಫ್ಟ್ ಆರ್ಡರ್‌ಗಳನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch invoice history,ಇನ್‌ವಾಯ್ಸ್ ಇತಿಹಾಸವನ್ನು ತರಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch M-Pesa payments,M-Pesa ಪಾವತಿಗಳನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch sales orders,ಮಾರಾಟ ಆದೇಶಗಳನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to fetch unpaid invoices,ಪಾವತಿಸದ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to generate scale barcode,ಪ್ರಮಾಣದ ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ರಚಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to issue gift card.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ನೀಡಲು ಸಾಧ್ಯವಿಲ್ಲ.
Unable to load cashier PIN status.,ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಸ್ಥಿತಿಯನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.
Unable to load document,ಡಾಕ್ಯುಮೆಂಟ್ ಅನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to load draft invoice,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to load gift card balance.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಬ್ಯಾಲೆನ್ಸ್ ಅನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.
Unable to load invoice details,ಇನ್‌ವಾಯ್ಸ್ ವಿವರಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to load parked order,ನಿಲುಗಡೆ ಮಾಡಿದ ಆರ್ಡರ್ ಅನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to load the selected sales order,ಆಯ್ಕೆಮಾಡಿದ ಮಾರಾಟದ ಆದೇಶವನ್ನು ಲೋಡ್ ಮಾಡಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to prepare document,ಡಾಕ್ಯುಮೆಂಟ್ ಸಿದ್ಧಪಡಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to prepare return invoice,ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್ ಸಿದ್ಧಪಡಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to print draft invoice,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ ಮುದ್ರಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to print submitted invoice,ಸಲ್ಲಿಸಿದ ಸರಕುಪಟ್ಟಿ ಮುದ್ರಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to process document action,ಡಾಕ್ಯುಮೆಂಟ್ ಕ್ರಿಯೆಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to repair change allocation,ಬದಲಾವಣೆ ಹಂಚಿಕೆಯನ್ನು ಸರಿಪಡಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
Unable to save cashier PIN.,ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ಅನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.
Unable to save the rate to the backend price list,ಬ್ಯಾಕೆಂಡ್ ಬೆಲೆ ಪಟ್ಟಿಗೆ ದರವನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ
